Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
World,WLD,445.3551537,451.0228865,473.9623866,501.554492,537.2719608,581.4719366,617.7374716,643.8213665,680.2318247,733.3357491,781.2143877,846.1636466,958.6660034,1149.560613,1302.590507,1427.36275,1525.827474,1695.82993,1965.948714,2242.44354,2477.322157,2497.230066,2429.869226,2439.740721,2490.074127,2571.19502,2989.22346,3336.213581,3667.925621,3783.587512,4154.007985,4287.39511,4508.30114,4507.732449,4771.394265,5222.115121,5254.78564,5167.214458,5079.152073,5200.777819,5298.349997,5199.384377,5338.384629,5935.672618,6609.846784,7063.816956,7568.850744,8442.45452,9161.146867,8586.817106,9216.285846
Afghanistan,AFG,55.60699555,55.66865139,54.35964453,73.19877188,76.37302661,94.09873228,128.1145064,149.8911664,120.3514784,120.6551451,146.1680181,149.1969285,126.6948551,134.2056753,163.0041769,175.2366743,184.5522191,208.0139438,226.6939592,247.7604148,237.9715318,222.1750653,,,,,,,,,,,,,,,,,,,,92.20611486,157.9765009,168.6783237,196.2321389,227.8803608,251.106162,307.9892025,361.5698935,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,665.5966081,664.5672639,716.6067885,692.1112539,665.4451189,717.2070388,638.8921785,346.0729743,217.1583301,380.8089109,624.5350681,771.8625351,968.0719517,710.3147881,885.9086309,1117.705767,1200.137437,1329.385031,1440.030143,1819.397838,2388.729275,2666.14162,2893.157853,3377.221517,4076.402136,3772.604741,3678.231748
Algeria,DZA,252.1887386,221.2088524,178.5449164,236.6728565,249.6236661,263.0448594,248.5605729,268.1118214,297.5673725,319.1603216,353.8063512,358.4118392,463.1151569,578.9856049,850.914532,971.2663926,1072.279806,1228.711072,1495.878393,1826.013006,2251.067371,2281.025916,2249.596065,2350.427196,2505.393783,2621.82489,2799.405331,2852.420226,2458.434902,2255.199561,2452.454722,1762.991935,1807.491275,1838.300883,1533.005721,1476.200262,1630.657337,1647.505339,1623.922526,1616.020378,1794.405233,1781.053814,1814.55743,2131.345262,2624.207271,3111.703447,3508.908779,4005.224242,4966.571702,4022.198878,4494.886728
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,3226.792412,3484.824583,4200.997588,5319.381426,6283.924953,7107.981102,7068.172843,7632.382858,8945.759305,11510.87312,11958.24836,9916.458826,9082.260037,7513.290609,7222.288411,7313.091107,9906.814233,12348.5011,14360.73787,15524.4706,19498.40713,20126.75364,20946.08694,16599.48733,16123.09453,18218.91006,18765.59507,18190.37111,18864.27098,19377.04565,17539.442,19050.46312,21091.1866,26563.27958,30842.10145,32607.838,35349.47358,39874.8198,44952.39917,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,750.5632924,681.7715303,772.0672546,813.8259685,923.4511519,992.7568203,1144.574971,525.2605258,464.8009366,345.7030549,416.3148338,604.4015752,600.0055025,490.566464,455.4968822,655.5318,621.0641974,767.7215947,905.0791108,1239.24603,1857.743098,2655.042216,3449.376803,4666.741352,4068.575715,4422.542824
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,940.8748564,1061.28414,1307.915478,1567.276083,1787.259364,2005.026748,2260.891751,2601.326937,3076.522774,3810.041865,4510.692316,5404.526805,6004.047193,6295.141048,6539.645272,6641.844385,6998.022978,7475.72883,7199.457887,7680.256669,8017.640963,8357.420329,8578.691062,8552.771999,8794.945235,8862.997264,9216.155883,9843.263742,10329.59749,11899.44279,13444.65755,13850.14922,12501.86657,11441.56782
Argentina,ARG,,,,,,1271.255275,1265.60249,1057.168443,1135.938174,1323.467118,1316.921941,1365.812694,1400.977104,2083.242231,2823.588622,2010.782193,1931.455419,2110.88243,2127.343809,2499.018792,2735.836419,2754.640839,2907.048461,3530.94275,2645.240195,2912.827628,3600.483606,3553.146963,3977.632453,2380.976361,4330.324573,5732.833843,6821.086043,6967.021353,7479.294721,7402.975001,7712.440458,8199.901173,8273.179024,7759.032261,7695.594073,7203.256653,2709.706375,3410.337808,3993.906484,4735.983684,5485.523115,6623.863698,8225.669082,7665.073444,9123.738663
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,588.9796367,368.8694649,356.4333077,399.678676,455.5502761,503.4286819,522.9914498,609.0913217,597.1228404,621.4248263,690.9977831,776.3093877,917.1741484,1167.831655,1598.339949,2079.73361,2994.70899,3787.492151,2768.612627,2996.306274
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13490.71845,14038.88408,14926.21612,16229.51661,16441.99568,16611.35164,17987.61968,19180.24495,19480.6208,20589.77183,20558.91166,20203.53069,,,,,,,,
Australia,AUS,,,,,,2294.571982,2357.356592,2593.749557,2740.040016,3008.411415,3323.841415,3516.096204,3973.487505,4800.016087,6519.991208,7042.372647,7531.364208,7813.322383,8293.451333,9341.47636,10262.95174,11924.6691,12854.99389,11594.17801,12517.99963,11530.29624,11447.64592,11708.96466,14439.53366,17952.06902,18430.51966,19090.80455,18804.90261,17861.19216,18287.87009,20534.0158,22044.71901,23636.34106,21442.83302,20617.59869,21768.04252,19596.54421,20214.30691,23546.59072,30569.07496,34127.99729,36202.53321,40660.40393,48348.26129,42130.82032,
Austria,AUT,935.399107,1031.712944,1087.813494,1167.620644,1270.961038,1377.542469,1489.830634,1578.009222,1689.843156,1839.490595,2055.111744,2376.497732,2916.013537,3879.375194,4618.391055,5263.104483,5647.206192,6766.095448,8149.707762,9722.847375,10786.10676,9319.26175,9332.248347,9467.262717,8925.243999,9104.048277,12981.31197,16252.93407,17400.17903,17285.75608,21378.46199,22075.72717,24811.57067,23747.59517,25375.06945,29965.05744,29396.61072,25953.47996,26577.10633,26359.00092,23865.55054,23642.28667,25477.99771,31047.11092,35357.73324,36792.18994,38918.57027,44850.11661,49739.04734,45555.43454,44862.67711
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5766985,561.9103017,573.8722839,655.1027406,703.6761278,763.1065447,883.6205159,1045.039022,1578.36733,2472.997476,3851.325664,5278.562524,4808.168837,5646.832273
"Bahamas, The",BHS,1550.323279,1651.401909,1752.851781,1866.992057,1994.36129,2144.693191,2322.737595,2556.600812,2804.404636,3215.193295,3179.032512,3297.771387,3322.481251,3696.622227,3416.697732,3156.668608,3328.926397,3617.636613,4131.550473,5533.278625,6340.455689,6624.715404,7167.965702,7698.493445,8878.246674,9894.138655,10345.66431,11157.88729,11389.64238,12166.67792,12361.007,11927.23648,11698.48097,11422.19645,11832.57935,12256.32117,12722.21576,14639.6694,16223.70546,17518.02128,18572.75969,18762.52505,19333.84814,19156.74237,19164.13456,20380.81059,21216.75831,21997.01394,21872.21127,20916.28423,21984.56006
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8583.987311,9320.241008,9499.445798,9476.02143,9647.493522,8758.953952,7084.667656,7603.008061,8010.6487,8082.854522,8581.587773,9110.637728,9142.006081,9768.289341,10209.53141,10462.8733,10613.52073,10707.17116,10117.09221,10564.06535,12489.46775,12340.56156,13224.70011,15062.02382,16725.72208,18570.7344,19539.98959,19955.10335,20813.13752,17608.82981,
Bangladesh,BGD,85.32391469,93.48817671,95.91688812,97.65080106,96.05762209,102.2054825,107.9014684,117.5566938,117.4771528,129.3787575,134.4582252,128.9894117,91.85036568,117.0264652,179.0963102,274.7989254,139.9391335,130.316924,174.8389393,198.9458399,224.6793774,238.4421272,212.397434,196.1563882,218.974773,234.2044658,223.1492015,244.0888662,256.2278074,261.2467403,286.2427691,287.2580878,287.672525,294.4329053,293.4899228,322.9273746,339.0849875,345.8254406,353.2898259,359.1882207,363.6399273,356.1180112,354.3039819,380.2787218,407.9878558,428.7534812,434.8408455,475.2496513,546.846854,607.7649413,673.0411676
Barbados,BRB,378.5588318,402.5341031,417.006135,467.1731386,462.2766029,487.4508337,523.9581821,579.8595428,579.3884561,649.6757933,760.7096604,850.6065639,967.0125338,1172.094135,1392.990732,1637.145672,1768.077875,2003.482484,2233.040342,2701.773359,3458.409513,3792.106733,3944.873556,4168.230032,4521.058844,4709.476279,5148.34562,5645.571849,5981.243309,6589.334055,6591.249863,6480.357143,6083.037069,6266.975826,6575.397718,7057.831694,7504.234897,8270.322055,8891.221273,9253.343828,9565.401228,9523.726038,9211.257728,10003.67393,10461.31278,11108.9341,11771.84556,12551.45093,13484.51507,13181.34157,11718.39272
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1239.167291,1470.52145,1805.296047,2355.505082,3090.359479,3797.78257,4666.636982,6328.211117,5182.630404,5765.041713
Belgium,BEL,1278.508893,1352.841504,1438.925545,1536.143207,1703.865344,1838.638612,1961.704194,2091.874102,2229.025351,2466.528232,2733.565768,3041.410665,3780.792036,4836.727732,5659.046289,6614.867391,7150.650207,8320.397599,10160.87308,11664.85045,12706.32974,10486.99816,9218.157896,8726.532298,8345.244927,8633.097843,12005.73219,14932.12415,16169.53813,16301.75141,20322.57019,20757.91934,23057.8404,21983.41921,23882.1493,28030.74305,27117.57652,24500.38604,25018.90006,24855.79577,22665.96527,22567.78554,24431.6728,29991.12228,34651.64684,35941.44858,37838.0188,43161.36602,47187.20707,43640.19618,42969.45409
Belize,BLZ,308.333205,317.9586198,326.1731098,333.5211028,346.0450342,371.9270396,401.3393402,418.0532282,387.8679846,400.9089963,443.7163197,486.4179322,536.1599733,628.4050927,816.4524185,917.5685814,737.4205835,873.5733571,985.2688785,1067.794801,1333.90411,1286.919403,1165.107808,1203.929013,1301.993252,1258.423586,1337.147887,1578.481826,1751.390434,1982.259913,2185.449651,2292.374879,2603.737078,2730.534894,2752.418063,2863.888092,2888.60961,2844.339657,2888.354183,3013.607543,3330.954622,3388.421125,3516.879348,3610.519139,3737.805047,3820.68063,4025.085538,4098.721207,4218.2552,4056.122449,4152.886568
Benin,BEN,93.48303512,96.14708185,95.13537847,100.6881869,105.3560254,110.5892957,113.9275174,113.3356366,119.3679938,118.4976866,116.5315977,114.4590965,137.98858,166.1639923,178.6019652,212.702716,214.2146043,224.4659203,271.0342854,337.2954724,389.1664594,348.1370139,332.6206299,279.5694944,260.9754219,252.578553,314.0481707,357.4070759,360.5138224,324.6646585,386.5469384,380.5798684,317.9698016,398.118776,273.485526,355.5434653,379.2636172,360.1736025,379.3135738,377.1819222,345.9503552,352.8741361,404.6358346,496.5799582,547.1000615,561.6453188,601.5009283,683.6521297,799.7559729,771.7087702,749.5069822
