site, longitude, latitude, year, month, logSO2
AT02,16.766666666666666,47.766666666666666,1990,1,2.602356296543146
AT02,16.766666666666666,47.766666666666666,1990,2,2.4113946538513207
AT02,16.766666666666666,47.766666666666666,1990,3,2.3233186593809525
AT02,16.766666666666666,47.766666666666666,1990,4,2.1854331081831875
AT02,16.766666666666666,47.766666666666666,1990,5,2.188351998832621
AT02,16.766666666666666,47.766666666666666,1990,6,2.132330437418229
AT02,16.766666666666666,47.766666666666666,1990,7,2.304832565534525
AT02,16.766666666666666,47.766666666666666,1990,8,2.251449680879275
AT02,16.766666666666666,47.766666666666666,1990,9,2.1356446382383933
AT02,16.766666666666666,47.766666666666666,1990,10,2.5474509963805714
AT02,16.766666666666666,47.766666666666666,1990,11,2.5884029288360764
AT02,16.766666666666666,47.766666666666666,1990,12,2.581314711547801
AT02,16.766666666666666,47.766666666666666,1991,1,2.8250922215338745
AT02,16.766666666666666,47.766666666666666,1991,2,3.1346460302343853
AT02,16.766666666666666,47.766666666666666,1991,3,2.6508094309298955
AT02,16.766666666666666,47.766666666666666,1991,4,2.0330703244977135
AT02,16.766666666666666,47.766666666666666,1991,5,2.266076698177523
AT02,16.766666666666666,47.766666666666666,1991,6,.9236634862035681
AT02,16.766666666666666,47.766666666666666,1991,7,2.0300543243096087
AT02,16.766666666666666,47.766666666666666,1991,8,1.9814841109968198
AT02,16.766666666666666,47.766666666666666,1991,9,2.433744925692068
AT02,16.766666666666666,47.766666666666666,1991,10,2.724087578799834
AT02,16.766666666666666,47.766666666666666,1991,11,2.716117572179969
AT02,16.766666666666666,47.766666666666666,1991,12,2.849694428837283
AT02,16.766666666666666,47.766666666666666,1992,1,2.7399041022161152
AT02,16.766666666666666,47.766666666666666,1992,2,2.6834500842339772
AT02,16.766666666666666,47.766666666666666,1992,3,2.9930536893482307
AT02,16.766666666666666,47.766666666666666,1992,4,2.6790675661777277
AT02,16.766666666666666,47.766666666666666,1992,5,2.32625279029423
AT02,16.766666666666666,47.766666666666666,1992,6,1.3849184149399596
AT02,16.766666666666666,47.766666666666666,1992,7,1.4285153765538532
AT02,16.766666666666666,47.766666666666666,1992,8,1.0981121636264273
AT02,16.766666666666666,47.766666666666666,1992,9,1.6218604324326575
AT02,16.766666666666666,47.766666666666666,1992,10,1.8605856601579076
AT02,16.766666666666666,47.766666666666666,1992,11,1.6922153388916685
AT02,16.766666666666666,47.766666666666666,1992,12,2.503114869436669
AT02,16.766666666666666,47.766666666666666,1993,1,2.593424675260907
