0    18   2  75  0.0  1  11.6700
10   18   2  75  0.0  1   8.4000
12   18   2  75  0.0  1   8.1800
14   18   2  75  0.0  1  10.2300
16   18   2  75  0.0  1   8.5800
16   18   2  75  0.0  1   8.0200
2    18   2  75  0.0  1  10.6200
20   18   2  75  0.0  1   8.5300
22   18   2  75  0.0  1   9.2200
24   18   2  75  0.0  1   9.3700
4    18   2  75  0.0  1   8.9800
6    18   2  75  0.0  1   9.0800
8    18   2  75  0.0  1   8.9400
0    18   2  75  2.0  1  11.5000
10   18   2  75  2.0  1   8.2000
12   18   2  75  2.0  1   7.7600
14   18   2  75  2.0  1   9.6400
16   18   2  75  2.0  1   7.9400
18   18   2  75  2.0  1   8.4100
2    18   2  75  2.0  1  10.9000
20   18   2  75  2.0  1   8.6900
22   18   2  75  2.0  1   8.9300
24   18   2  75  2.0  1   9.2100
4    18   2  75  2.0  1   9.0000
6    18   2  75  2.0  1   9.5200
8    18   2  75  2.0  1   8.7800
0    18   2  75  3.0  1  10.9100
10   18   2  75  3.0  1   8.1200
12   18   2  75  3.0  1   7.7800
14   18   2  75  3.0  1   7.4000
16   18   2  75  3.0  1   8.0400
18   18   2  75  3.0  1   8.5200
2    18   2  75  3.0  1  10.0800
20   18   2  75  3.0  1   8.8100
22   18   2  75  3.0  1   8.8800
24   18   2  75  3.0  1   9.1500
4    18   2  75  3.0  1   9.1000
6    18   2  75  3.0  1   9.2000
8    18   2  75  3.0  1   8.9100
0    18   2  75  6.0  1  11.4100
10   18   2  75  6.0  1   6.5200
12   18   2  75  6.0  1   7.1000
14   18   2  75  6.0  1   6.9200
16   18   2  75  6.0  1   7.9000
18   18   2  75  6.0  1   8.0400
2    18   2  75  6.0  1   8.3000
20   18   2  75  6.0  1   8.5700
22   18   2  75  6.0  1   9.0400
24   18   2  75  6.0  1   9.2700
4    18   2  75  6.0  1   8.5200
6    18   2  75  6.0  1   7.1100
8    18   2  75  6.0  1   7.2100
0    18   2  75  7.5  1   6.8800
10   18   2  75  7.5  1   5.8600
12   18   2  75  7.5  1   6.6100
14   18   2  75  7.5  1   7.1600
16   18   2  75  7.5  1   7.9000
18   18   2  75  7.5  1   8.4200
2    18   2  75  7.5  1   7.5100
20   18   2  75  7.5  1   8.7700
22   18   2  75  7.5  1   8.8700
24   18   2  75  7.5  1   8.9400
4    18   2  75  7.5  1   6.7200
6    18   2  75  7.5  1   6.2300
8    18   2  75  7.5  1   6.6000
0    20   3  75  0.0  2   8.0200
10   20   3  75  0.0  2   1.5600
12   20   3  75  0.0  2   1.9800
14   20   3  75  0.0  2   3.2000
16   20   3  75  0.0  2   4.2300
18   20   3  75  0.0  2   5.6500
2    20   3  75  0.0  2   4.4900
20   20   3  75  0.0  2   8.6100
22   20   3  75  0.0  2   8.4600
24   20   3  75  0.0  2   8.5400
4    20   3  75  0.0  2   3.0400
6    20   3  75  0.0  2   2.2900
8    20   3  75  0.0  2   2.5900
0    20   3  75  2.0  2   0.2400
10   20   3  75  2.0  2   1.9500
12   20   3  75  2.0  2   2.2100
14   20   3  75  2.0  2   4.0000
16   20   3  75  2.0  2   7.1600
18   20   3  75  2.0  2   5.8400
2    20   3  75  2.0  2   1.3700
20   20   3  75  2.0  2   8.1800
22   20   3  75  2.0  2   8.9200
24   20   3  75  2.0  2   8.6800
4    20   3  75  2.0  2   2.0900
6    20   3  75  2.0  2   1.7200
8    20   3  75  2.0  2   2.1400
0    20   3  75  3.0  2   0.2200
10   20   3  75  3.0  2   2.1200
12   20   3  75  3.0  2   2.1000
14   20   3  75  3.0  2   3.7800
16   20   3  75  3.0  2   4.6000
18   20   3  75  3.0  2   6.3900
2    20   3  75  3.0  2   0.4900
20   20   3  75  3.0  2   7.8400
22   20   3  75  3.0  2        NA
24   20   3  75  3.0  2   8.7800
4    20   3  75  3.0  2   0.8700
6    20   3  75  3.0  2   1.8800
8    20   3  75  3.0  2   2.1800
0    20   3  75  6.0  2   0.2000
10   20   3  75  6.0  2   4.5000
12   20   3  75  6.0  2   5.5600
14   20   3  75  6.0  2   6.4900
16   20   3  75  6.0  2   5.6300
18   20   3  75  6.0  2   7.2500
2    20   3  75  6.0  2   0.5000
20   20   3  75  6.0  2   8.3800
22   20   3  75  6.0  2   8.8600
24   20   3  75  6.0  2   8.7800
4    20   3  75  6.0  2   1.2500
6    20   3  75  6.0  2   2.8600
8    20   3  75  6.0  2   3.6300
0    20   3  75  7.5  2   0.0400
10   20   3  75  7.5  2        NA
12   20   3  75  7.5  2   5.3800
14   20   3  75  7.5  2   6.6900
16   20   3  75  7.5  2   6.8300
18   20   3  75  7.5  2   7.4400
2    20   3  75  7.5  2   0.4800
20   20   3  75  7.5  2   8.8900
22   20   3  75  7.5  2   8.7600
24   20   3  75  7.5  2   8.9000
4    20   3  75  7.5  2   1.4400
6    20   3  75  7.5  2   2.8300
8    20   3  75  7.5  2   4.0900
0     2   4  75  0.0  2   2.3500
10    2   4  75  0.0  2   1.0000
12    2   4  75  0.0  2   1.6000
14    2   4  75  0.0  2   2.3000
16    2   4  75  0.0  2   5.9000
18    2   4  75  0.0  2   7.2100
2     2   4  75  0.0  2   5.6000
20    2   4  75  0.0  2   8.3100
24    2   4  75  0.0  2        NA
4     2   4  75  0.0  2   3.7000
6     2   4  75  0.0  2   1.9000
